type,name,page,image_path,csv_path,path,caption,image,points_csv,parameter,value,text_evidence
table,table1,3.0,papers\article1\images\table1.png,papers\article1\outputs\table1.csv,,,,,,,
image,image1,2.0,,,<class 'pathlib._local.Path'>,"2 Image1. Themostpotentcompound(4d)ismorehydrophobicthanbutor- N phanolbyafactorof140.Despitethelossofthe3-OHgroupincon- R tributing to intermolecular noncovalent bonding as a hydrogen- bonddonor,compound4disabouttwofoldmorepotentbindingat thelreceptorandisafourfoldmorepotentbinderatthejreceptor thanbutorphanol.Itwouldappearthatthelossinhydrogenbond HO donorbindingenergyfrommaskingofthephenoloxygeniscom-",,,,,
image,image2,2.0,,,<class 'pathlib._local.Path'>,"pensated,inpart,bythechangeinhydrophobicitybyadditionofa 3aR=H butorphan(MCL-101) phenylgroup.Thelogarithmicrelationshipofaffinityandpartition 3bR=OH butorphanol coefficient indicates that the binding affinity is very sensitive to Image2. thehydrophobicityofthecompound.Theesterseriesisstableto hydrolysisundertheassayconditionsused.Thestabilityof4band Allnewcompoundswereevaluatedastheirhydrochloridesalts 4c was studied at pH 7.4 in 25mM phosphate buffer at 37(cid:4)C by for their binding affinity at all three opioid receptors (l, j, d) HPLC.13Nohydrolysisoftheesterswasobservedafter24h. (Table1)usingapreviouslyreportedprocedure.11 Thebindingaffinityoftheetherseriestendedtobemuchless Introduction of hydrophobic groups onto the phenol oxygen than with butorphanol though the affinity of two, 5d and 5f, are maintainedbindingaffinitytothelandjopioidreceptors.Ingen- stilllessthan10nMatbothlandjopioidreceptors.Withinthe eral the binding affinities were lower than that of butorphanol, etherseriesa similarpK i /CLogPrelationship isobservedatthel",,,,,
image,image3,2.0,,,<class 'pathlib._local.Path'>,"Scheme1. Reagentsandconditions:(a)ROCl,Et3N,CH2Cl2,rt;(b)RCOOH,DCC,DMAP,CH2Cl2,rt;(c)RBr,NaH,DMF,rt.",,,,,
image,image4,3.0,,,<class 'pathlib._local.Path'>,"tratewasgenerouslydonatedbyMallinckrodtInc. 4a-f 5a-e 4a R = 4-C H C H CH - 5a R = NH COCH - Referencesandnotes 6 5 6 4 2 2 2 4b R = C H CH - 5b R = HO(CH ) - 6 5 2 2 3 1. (a)Shiotani,S.;Kometani,T.;Iitaka,Y.;Itai,A.J.Med.Chem.1978,21,153;(b) 4c R = 4-(CH 3 )C 6 H 4 CH(CH 3 )- 5c. R = C 6 H 5 CH 2 - Portoghese,P.S.J.Med.Chem.1965,8,609. 4d R = C H OCH - 5d. R = C H CH CH - 2. Fries, D. S. In Principles of Medicinal Chemistry; Foye, W. O., Lemke, T. L., 6 5 2 6 5 2 2 4e R = 4-C H C H - 5e. R = 4-NO -C H - Willams,D.A.,Eds.,4thed.;WillamsandWilkins:Media,PA,1995.Chapter14. 6 5 6 4 2 6 4 3. Katsuura,K.;Yamaguchi,K.;Sakai,S.;Mitsuhashi,K.Chem.Pharm.Bull.1983, 4f R = 4-MeO-C 6 H 4 CH 2 - 5f. R = 4-NH 2 -C 6 H 4 - 31,1518. 4. Wentland,M.P.;VanAlstine,M.;Kucejko,R.;Lou,R.;Cohen,D.J.;Parkhill,A.L.; Image4. Bidlack,J.M.J.Med.Chem.2006,49,5635. 5. (a)Neumeyer,J.L.;Zhang,A.;Xiong,W.;Gu,X.H.;Hilbert,J.E.,etalJ.Med.",,,,,
graph,graph1,,,,,,papers\article1\images\graph1.png,papers\article1\outputs\graph1_points.csv,,,
parameter,,1.0,,,,,,,Ki,"K
i | 61 | pM",aphenolichydrogen- Availableonline17July2008 bond donor group. The most potent (K i =61pM at l and 48pM at j) novel agent was ((cid:2))-N-cyclo- butylmethylmorphinan-3-y
parameter,,1.0,,,,,,,concentration,61 | pM,olichydrogen- Availableonline17July2008 bond donor group. The most potent (K i =61pM at l and 48pM at j) novel agent was ((cid:2))-N-cyclo- butylmethylmorphinan-3-y
parameter,,1.0,,,,,,,concentration,48 | pM,Availableonline17July2008 bond donor group. The most potent (K i =61pM at l and 48pM at j) novel agent was ((cid:2))-N-cyclo- butylmethylmorphinan-3-yl-14-olphenoxy
parameter,,1.0,,,,,,,concentration,0.70 | nM,"ors and induction of the narcotic analgesic affect.1,2 wasstillsubnanomolar(K l=0.70nM,j=0.30nM). i Thephenolichydroxylgrouphasbeenrecognizedasrequisitefor Togaingrea"
parameter,,1.0,,,,,,,concentration,0.30 | nM,"nduction of the narcotic analgesic affect.1,2 wasstillsubnanomolar(K l=0.70nM,j=0.30nM). i Thephenolichydroxylgrouphasbeenrecognizedasrequisitefor Togaingreaterinsigh"
parameter,,1.0,,,,,,,time,1 | H, sodium salt of butorphanol generated in situ using sodium hy- dride. Spectral (1H NMR and 13C NMR) data and combustion analysis for the target compounds were con
parameter,,2.0,,,,,,,concentration,25 | mM,lnewcompoundswereevaluatedastheirhydrochloridesalts 4c was studied at pH 7.4 in 25mM phosphate buffer at 37(cid:4)C by for their binding affinity at all three opioi
parameter,,2.0,,,,,,,pH,7.4,of4band Allnewcompoundswereevaluatedastheirhydrochloridesalts 4c was studied at pH 7.4 in 25mM phosphate buffer at 37(cid:4)C by for their binding affinity at all thr
parameter,,2.0,,,,,,,time,10 | H,B.S.Fultonetal./Bioorg.Med.Chem.Lett.18(2008)4474–4476 4475 17 N 10 H N 1 8 14 N 3 HO 4 5 O 1 2 Image1. Themostpotentcompound(4d)ismorehydrophobictha
parameter,,2.0,,,,,,,time,24 | h," three opioid receptors (l, j, d) HPLC.13Nohydrolysisoftheesterswasobservedafter24h. (Table1)usingapreviouslyreportedprocedure.11 Thebindingaffinityoftheetherserie"
parameter,,3.0,,,,,,,time,3 | H,"onofl,d,jopioidbindingtoCHOmembranes Compound Ki±SEM(nM) Selectivity CLogP12 l([3H]DAMGO) d([3H]Naltindole) j([3H]U69,593) l/d/j 15a(levorphanol) 0.21±0.017 4.2±0"
parameter,,3.0,,,,,,,time,3 | H,"idbindingtoCHOmembranes Compound Ki±SEM(nM) Selectivity CLogP12 l([3H]DAMGO) d([3H]Naltindole) j([3H]U69,593) l/d/j 15a(levorphanol) 0.21±0.017 4.2±0.45 2.3±0.26 "
parameter,,3.0,,,,,,,time,3 | H,"ranes Compound Ki±SEM(nM) Selectivity CLogP12 l([3H]DAMGO) d([3H]Naltindole) j([3H]U69,593) l/d/j 15a(levorphanol) 0.21±0.017 4.2±0.45 2.3±0.26 1/20/11 3.5 24 6.7"
parameter,,3.0,,,,,,,time,6 | H,"ni,S.;Kometani,T.;Iitaka,Y.;Itai,A.J.Med.Chem.1978,21,153;(b) 4c R = 4-(CH 3 )C 6 H 4 CH(CH 3 )- 5c. R = C 6 H 5 CH 2 - Portoghese,P.S.J.Med.Chem.1965,8,609. 4d R "
parameter,,3.0,,,,,,,time,6 | H,";Itai,A.J.Med.Chem.1978,21,153;(b) 4c R = 4-(CH 3 )C 6 H 4 CH(CH 3 )- 5c. R = C 6 H 5 CH 2 - Portoghese,P.S.J.Med.Chem.1965,8,609. 4d R = C H OCH - 5d. R = C H CH "
parameter,,3.0,,,,,,,time,6 | H,"uura,K.;Yamaguchi,K.;Sakai,S.;Mitsuhashi,K.Chem.Pharm.Bull.1983, 4f R = 4-MeO-C 6 H 4 CH 2 - 5f. R = 4-NH 2 -C 6 H 4 - 31,1518. 4. Wentland,M.P.;VanAlstine,M.;Kuce"
parameter,,3.0,,,,,,,time,6 | H,"itsuhashi,K.Chem.Pharm.Bull.1983, 4f R = 4-MeO-C 6 H 4 CH 2 - 5f. R = 4-NH 2 -C 6 H 4 - 31,1518. 4. Wentland,M.P.;VanAlstine,M.;Kucejko,R.;Lou,R.;Cohen,D.J.;Parkhi"
parameter,,3.0,,,,,,,time,0 | s,"riethylamine)gave99mg(89%yield)ofthepureester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H"
parameter,,3.0,,,,,,,time,6 | H,"89%yield)ofthepureester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 ."
parameter,,3.0,,,,,,,time,4 | H,"reester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 . 6 3 – H 7 z .3"
parameter,,3.0,,,,,,,time,1 | H,", D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 . 6 3 – H 7 z .3 , 0 1H (m ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3"
parameter,,3.0,,,,,,,time,3 | H,"6 3 – H 7 z .3 , 0 1H (m ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),"
parameter,,3.0,,,,,,,time,1 | H," ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2"
parameter,,3.0,,,,,,,time,1 | H,".1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H)"
parameter,,3.0,,,,,,,time,1 | H," = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H)"
parameter,,3.0,,,,,,,time,3 | H," 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13"
parameter,,3.0,,,,,,,time,1 | H,"z,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,7"
parameter,,3.0,,,,,,,time,9 | H,",J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,15"
parameter,,3.0,,,,,,,time,2 | H,",1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, "
parameter,,3.0,,,,,,,time,5 | H,",1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, 7 8 9 10 11 143.2,1"
parameter,,3.0,,,,,,,time,1 | H,"4(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, 7 8 9 10 11 143.2,134.3,129.6,128.4,122"
