type,parameter,value,page,text_evidence
parameter,Ki,"K
i | 61 | pM",1,aphenolichydrogen- Availableonline17July2008 bond donor group. The most potent (K i =61pM at l and 48pM at j) novel agent was ((cid:2))-N-cyclo- butylmethylmorphinan-3-y
parameter,concentration,61 | pM,1,olichydrogen- Availableonline17July2008 bond donor group. The most potent (K i =61pM at l and 48pM at j) novel agent was ((cid:2))-N-cyclo- butylmethylmorphinan-3-y
parameter,concentration,48 | pM,1,Availableonline17July2008 bond donor group. The most potent (K i =61pM at l and 48pM at j) novel agent was ((cid:2))-N-cyclo- butylmethylmorphinan-3-yl-14-olphenoxy
parameter,concentration,0.70 | nM,1,"ors and induction of the narcotic analgesic affect.1,2 wasstillsubnanomolar(K l=0.70nM,j=0.30nM). i Thephenolichydroxylgrouphasbeenrecognizedasrequisitefor Togaingrea"
parameter,concentration,0.30 | nM,1,"nduction of the narcotic analgesic affect.1,2 wasstillsubnanomolar(K l=0.70nM,j=0.30nM). i Thephenolichydroxylgrouphasbeenrecognizedasrequisitefor Togaingreaterinsigh"
parameter,time,1 | H,1, sodium salt of butorphanol generated in situ using sodium hy- dride. Spectral (1H NMR and 13C NMR) data and combustion analysis for the target compounds were con
parameter,concentration,25 | mM,2,lnewcompoundswereevaluatedastheirhydrochloridesalts 4c was studied at pH 7.4 in 25mM phosphate buffer at 37(cid:4)C by for their binding affinity at all three opioi
parameter,pH,7.4,2,of4band Allnewcompoundswereevaluatedastheirhydrochloridesalts 4c was studied at pH 7.4 in 25mM phosphate buffer at 37(cid:4)C by for their binding affinity at all thr
parameter,time,10 | H,2,B.S.Fultonetal./Bioorg.Med.Chem.Lett.18(2008)4474–4476 4475 17 N 10 H N 1 8 14 N 3 HO 4 5 O 1 2 Image1. Themostpotentcompound(4d)ismorehydrophobictha
parameter,time,24 | h,2," three opioid receptors (l, j, d) HPLC.13Nohydrolysisoftheesterswasobservedafter24h. (Table1)usingapreviouslyreportedprocedure.11 Thebindingaffinityoftheetherserie"
parameter,time,3 | H,3,"onofl,d,jopioidbindingtoCHOmembranes Compound Ki±SEM(nM) Selectivity CLogP12 l([3H]DAMGO) d([3H]Naltindole) j([3H]U69,593) l/d/j 15a(levorphanol) 0.21±0.017 4.2±0"
parameter,time,3 | H,3,"idbindingtoCHOmembranes Compound Ki±SEM(nM) Selectivity CLogP12 l([3H]DAMGO) d([3H]Naltindole) j([3H]U69,593) l/d/j 15a(levorphanol) 0.21±0.017 4.2±0.45 2.3±0.26 "
parameter,time,3 | H,3,"ranes Compound Ki±SEM(nM) Selectivity CLogP12 l([3H]DAMGO) d([3H]Naltindole) j([3H]U69,593) l/d/j 15a(levorphanol) 0.21±0.017 4.2±0.45 2.3±0.26 1/20/11 3.5 24 6.7"
parameter,time,6 | H,3,"ni,S.;Kometani,T.;Iitaka,Y.;Itai,A.J.Med.Chem.1978,21,153;(b) 4c R = 4-(CH 3 )C 6 H 4 CH(CH 3 )- 5c. R = C 6 H 5 CH 2 - Portoghese,P.S.J.Med.Chem.1965,8,609. 4d R "
parameter,time,6 | H,3,";Itai,A.J.Med.Chem.1978,21,153;(b) 4c R = 4-(CH 3 )C 6 H 4 CH(CH 3 )- 5c. R = C 6 H 5 CH 2 - Portoghese,P.S.J.Med.Chem.1965,8,609. 4d R = C H OCH - 5d. R = C H CH "
parameter,time,6 | H,3,"uura,K.;Yamaguchi,K.;Sakai,S.;Mitsuhashi,K.Chem.Pharm.Bull.1983, 4f R = 4-MeO-C 6 H 4 CH 2 - 5f. R = 4-NH 2 -C 6 H 4 - 31,1518. 4. Wentland,M.P.;VanAlstine,M.;Kuce"
parameter,time,6 | H,3,"itsuhashi,K.Chem.Pharm.Bull.1983, 4f R = 4-MeO-C 6 H 4 CH 2 - 5f. R = 4-NH 2 -C 6 H 4 - 31,1518. 4. Wentland,M.P.;VanAlstine,M.;Kucejko,R.;Lou,R.;Cohen,D.J.;Parkhi"
parameter,time,0 | s,3,"riethylamine)gave99mg(89%yield)ofthepureester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H"
parameter,time,6 | H,3,"89%yield)ofthepureester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 ."
parameter,time,4 | H,3,"reester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 . 6 3 – H 7 z .3"
parameter,time,1 | H,3,", D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 . 6 3 – H 7 z .3 , 0 1H (m ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3"
parameter,time,3 | H,3,"6 3 – H 7 z .3 , 0 1H (m ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),"
parameter,time,1 | H,3," ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2"
parameter,time,1 | H,3,".1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H)"
parameter,time,1 | H,3," = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H)"
parameter,time,3 | H,3," 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13"
parameter,time,1 | H,3,"z,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,7"
parameter,time,9 | H,3,",J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,15"
parameter,time,2 | H,3,",1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, "
parameter,time,5 | H,3,",1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, 7 8 9 10 11 143.2,1"
parameter,time,1 | H,3,"4(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, 7 8 9 10 11 143.2,134.3,129.6,128.4,122"
